red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
667.0000,595.0000,-46.756878_-23.48578,439.0000,1633.0000,SF-23-Y-C,1171.0000,827.0000,0.743361068811525,1,270025,SF-23-Y-C-III
938.5000,841.5000,-46.751493_-23.483985,600.0000,1833.0000,SF-23-Y-C,1737.5000,1312.5000,0.288368903757210,1,270024,SF-23-Y-C-III
1240.0000,918.0000,-46.753288_-23.490806,616.0000,1988.0000,SF-23-Y-C,2475.0000,1965.0000,0.206195387745273,1,270026,SF-23-Y-C-III
1089.0000,985.5000,-46.766212_-23.497986,652.5000,2711.0000,SF-23-Y-C,2366.0000,1574.0000,0.514675841778452,1,270022,SF-23-Y-C-III
1168.5000,1058.0000,-46.762981_-23.512705,791.0000,1824.5000,SF-23-Y-C,1933.5000,1617.0000,0.605375237838492,1,36254,SF-23-Y-C-VI
1095.0000,986.0000,-46.77411_-23.50373,743.0000,1498.0000,SF-23-Y-C,1842.0000,1554.0000,0.161701050942650,1,36014,SF-23-Y-C-VI
1039.0000,903.0000,-46.778418_-23.517013,694.0000,1549.0000,SF-23-Y-C,1999.0000,1765.0000,0.228584656128745,1,36285,SF-23-Y-C-VI
1261.5000,971.0000,-46.783803_-23.534963,707.5000,1778.0000,SF-23-Y-C,2434.0000,2090.5000,0.644671267316989,1,36153,SF-23-Y-C-VI
1067.0000,921.0000,-46.769443_-23.530655,741.0000,1499.0000,SF-23-Y-C,1789.0000,1571.0000,0.618828597807971,1,36221,SF-23-Y-C-VI
870.0000,832.0000,-46.759391_-23.522757,582.0000,1861.0000,SF-23-Y-C,1419.0000,958.0000,0.271247643760851,1,36096,SF-23-Y-C-VI
824.5000,791.5000,-46.753288_-23.524552,661.0000,1166.5000,SF-23-Y-C,1536.0000,1501.0000,0.921841732243086,1,36330,SF-23-Y-C-VI
1144.0000,910.0000,-46.757955_-23.542502,714.0000,1528.0000,SF-23-Y-C,2203.0000,2139.0000,0.907130425018333,1,36030,SF-23-Y-C-VI
1120.0000,1008.0000,-46.77411_-23.545015,778.0000,1418.0000,SF-23-Y-C,1826.0000,1669.0000,0.775127404352369,1,36074,SF-23-Y-C-VI
910.5000,835.5000,-46.775187_-23.547169,661.0000,1397.5000,SF-23-Y-C,1419.0000,1161.0000,0.711596119550507,1,36307,SF-23-Y-C-VI
1058.0000,937.0000,-46.788111_-23.559016,722.0000,1700.0000,SF-23-Y-C,1857.0000,1560.0000,0.315917310498264,1,36302,SF-23-Y-C-VI
1042.0000,936.0000,-46.802112_-23.555426,784.0000,1418.0000,SF-23-Y-C,1625.0000,1349.0000,0.581655094606113,1,36346,SF-23-Y-C-VI
1358.0000,1039.0000,-46.803548_-23.552913,707.0000,2311.5000,SF-23-Y-C,2453.5000,1762.5000,0.225322843911498,1,36113,SF-23-Y-C-VI
